"Claim ID","Exact supported claim","Direct statistic, finding, or short source excerpt","Source title","Publisher/author","Publication date","Original direct URL","Source category","Source tier","Methodology, sample, geography, and study period","Limitation or caveat","Evidence type","Relevant industry or industries","Relevant workflow","Relevant persona","Suggested use","Status"
"U-AI-005","In a staggered deployment study of a generative AI assistant for 5,179 customer support agents, access increased productivity (issues resolved per hour) by about 14% on average, with ~34% gains for novice/low-skilled workers and minimal impact on highly skilled workers.","increases productivity, as measured by issues resolved per hour, by 14% on average... including a 34% improvement for novice and low-skilled workers","Generative AI at Work (NBER Working Paper 31161)","Brynjolfsson, Li, Raymond — NBER","April 2023; revised November 2023","https://www.nber.org/system/files/working_papers/w31161/w31161.pdf","Academic working paper","2 - Academic working paper (NBER)","Staggered introduction / DiD; N=5,179 customer support agents at Fortune 500 software firm; majority of agents outside U.S. (primarily Philippines); rollout ~2020–2021; millions of chats analyzed.","Customer support chat, not client-facing professional advisory work; geography primarily non-U.S. agents; working paper; tool suggested responses agents could accept/ignore (~38% adherence); does not measure professional liability contexts. Quasi-experimental causal design.","Causal (quasi-experimental DiD)","IT services / customer support (transfer hypothesis to MSP L1/L2); not primary evidence for law/accounting advice","Knowledge-to-Delivery; onboarding; MSP ticket resolution","COO; Practice Leader; CIO","Playbook on junior leverage and knowledge encoding; MSP pack; caveat heavily for regulated professions","approved"
"U-ADOPT-001","In McKinsey's 2025 State of AI global survey, 88% of respondents reported regular AI use in at least one business function, up from 78% a year earlier; nearly two-thirds said their organizations had not yet begun scaling AI across the enterprise.","88 percent report regular AI use in at least one business function, compared with 78 percent a year ago... Nearly two-thirds... have not yet begun scaling AI across the enterprise.","The State of AI: Global Survey 2025","McKinsey & Company / QuantumBlack","2025 (field period June 25–July 29, 2025)","https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai","Consultancy survey","5 - Consultancy (use for framing/hypotheses; not sole ROI support)","Online survey; N=1,993; 105 nations; weighted by nation GDP contribution; June 25–July 29, 2025.","Self-reported; cross-industry not PS-specific; large-org bias likely; McKinsey commercial interest in AI services; 'regular use in one function' ≠ value realization; global not U.S. SMB-specific.","Descriptive (survey)","Cross-industry (not PS-only)","Governed adoption; implementation","CIO; Managing Partner/CEO; COO","Playbook adoption lag chapter; persona triggers; social with sponsorship caveat","verified"
"U-ADOPT-002","McKinsey 2025 State of AI: 23% of respondents report scaling an agentic AI system somewhere in the enterprise; an additional 39% are experimenting with AI agents; in any given business function, no more than 10% report scaling agents.","Twenty-three percent... scaling an agentic AI system... additional 39 percent... experimenting with AI agents... no more than 10 percent... in any given business function","The State of AI: Global Survey 2025","McKinsey / QuantumBlack","2025","https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai","Consultancy survey","5 - Consultancy","N=1,993; 105 nations; June–July 2025.","Self-reported scaling definitions; agentic AI definition may vary; not PS-specific; McKinsey interest.","Descriptive (survey)","Cross-industry","AI ops maturity","CIO; COO","Playbook on adoption lag and pilot-to-scale gap","verified"
"U-ADOPT-003","McKinsey 2025 State of AI: 64% say AI is enabling innovation, but only 39% report EBIT impact at the enterprise level.","64 percent say AI is enabling their innovation; 39 percent report EBIT impact at the enterprise level","The State of AI: Global Survey 2025","McKinsey / QuantumBlack","2025","https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai","Consultancy survey","5 - Consultancy","N=1,993; 105 nations; self-reported impact.","Self-reported EBIT impact not audited financials; attribution of EBIT to AI is subjective; not causal.","Descriptive (survey perception)","Cross-industry","Business case / measurement","CFO; Managing Partner/CEO","Playbook measurement chapter — value capture lag","verified"
"U-ADOPT-004","Deloitte State of Generative AI (Wave 4 press release): more than two-thirds of respondents said 30% or fewer of their GenAI experiments would be fully scaled in the next 3–6 months; 78% expect to increase overall AI spending next fiscal year; regulatory compliance rose to top barrier (38% in Wave 4 vs 28% Wave 1).","more than two-thirds... 30% or fewer of their experiments will be fully scaled... 78% expect to increase... regulatory compliance... Wave 1 (28%) to Wave 4 (38%)","State of Generative AI Q4 – Press Release","Deloitte","January 21, 2025 (survey July–September 2024)","https://www.deloitte.com/us/en/about/press-room/state-of-generative-ai.html","Consultancy survey press release","5 - Consultancy (AI-experienced respondents only)","N=2,773 director- to C-suite respondents; 14 countries; six industries; respondents already piloting/implementing GenAI; July–Sept 2024.","Sample biased to AI-experienced large orgs; self-reported expectations; Deloitte commercial interest; not PS-specific SMB.","Descriptive (survey)","Cross-industry enterprise","Governed adoption; compliance","CIO; Risk/GC; CFO","Playbook failure modes and governance business case","verified"
"U-ADOPT-005","Thomson Reuters Future of Professionals 2024: among 2,205 professionals in legal, tax/accounting, risk/compliance and C-suite roles, 77% believe AI will have a high or transformational impact on their work over five years (42% say transformational, up from 34% in 2023).","77% of respondents overall said they believe AI will have a high or transformational impact... 42%... transformational... compared to 34% in 2023","Future of Professionals Report 2024","Thomson Reuters Institute","July 2024","https://www.thomsonreuters.com/content/dam/ewp-m/documents/thomsonreuters/en/pdf/reports/future-of-professionals-report-2024.pdf","Vendor research / professional survey","5 - Vendor (Thomson Reuters sells AI-enabled professional products)","N=2,205; 15–20 minute surveys; global; legal, tax/accounting/trade, risk/fraud/compliance, corporate C-suite; 2024.","Perception/prediction not measured productivity; vendor sponsorship bias; global mix.","Descriptive (survey perception)","Legal; accounting/tax; risk & compliance","Strategic AI adoption","Managing Partner/CEO; Practice Leader","Persona landing framing with caveat that this is expectation not outcome","verified"
"U-ADOPT-006","Thomson Reuters Future of Professionals 2024 respondents predicted AI could save 4 hours/week in the next year and 12 hours/week within five years (~200 hours/year at 48–50 work weeks); publisher equates this to 'an extra colleague for every 10 team members' — this is prediction, not measured savings.","save them 12 hours per week in the next five years, or four hours per week over the upcoming year... equating to 200 hours annually","Future of Professionals Report 2024 / TR Institute post","Thomson Reuters Institute","July 9, 2024","https://www.thomsonreuters.com/en-us/posts/innovation/future-of-professionals-report-ai-set-to-save-professionals-12-hours-per-week/","Vendor research","5 - Vendor prediction survey",">2,200 professionals globally in legal, tax, risk & compliance.","CRITICAL: respondent prediction, not observed time-motion study. Do not cite as proven ROI. Vendor incentive to inflate AI value narrative. Annualization assumes full capture of predicted hours.","Expert/respondent opinion (survey prediction)","Legal; tax; risk & compliance","Business case (hypothesis only)","CFO; Managing Partner/CEO","Assessment calibration item as 'expectation vs evidence'; never as proven savings","verified"
"U-GOV-001","NIST AI Risk Management Framework (AI RMF 1.0), released January 2023, is intended for voluntary use to help organizations incorporate trustworthiness considerations into design, development, use, and evaluation of AI systems.","intended for voluntary use... incorporate trustworthiness considerations into the design, development, use, and evaluation of AI products, services, and systems","Artificial Intelligence Risk Management Framework (AI RMF 1.0)","U.S. National Institute of Standards and Technology (NIST)","January 2023","https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf","Government standards body","1 - Government / standards","Consensus-driven framework developed via RFI, public drafts, workshops; U.S. federal standards agency; voluntary.","Voluntary; not a compliance mandate for private PS firms; does not prescribe profession-specific confidentiality rules; no measured effectiveness data in the framework itself.","Normative standard / expert framework","All industries using AI","Governance; access control; risk management; quality","CIO; Risk/GC; COO","Playbook governance chapter backbone; assessment maturity items","approved"
"U-GOV-002","NIST AI 600-1 (July 2024) is a cross-sector Generative AI Profile companion to AI RMF 1.0 for governing, mapping, measuring, and managing risks associated with generative AI activities such as LLMs and cloud-based services.","cross-sectoral profile of and companion resource for the AI Risk Management Framework (AI RMF 1.0) for Generative AI","Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile (NIST.AI.600-1)","NIST","July 2024","https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf","Government standards body","1 - Government / standards","NIST profile document; voluntary; July 2024.","Voluntary guidance; not profession-specific; not a liability safe harbor.","Normative standard","All","GenAI governance; procurement; risk","CIO; Risk/GC","Playbook GenAI controls; CIO landing","approved"
"U-GOV-003","OECD AI Principles (adopted 2019, updated 2024) are the first intergovernmental standard on AI, comprising five values-based principles and five recommendations promoting innovative, trustworthy AI that respects human rights and democratic values.","first intergovernmental standard on AI... five values-based principles and five recommendations... updated in 2024","OECD AI Principles","Organisation for Economic Co-operation and Development","2019; updated 2024","https://www.oecd.org/en/topics/ai-principles.html","International standards / intergovernmental","1 - Government/intergovernmental","Intergovernmental standard; global OECD membership context.","High-level principles, not operational PS controls; global not U.S.-only; not legally binding on private firms by itself.","Normative standard","All","Governance principles","Risk/GC; Managing Partner/CEO","Playbook principles framing; international context label","approved"
"U-GOV-004","ISO/IEC 42001:2023 specifies requirements for establishing, implementing, maintaining, and continually improving an Artificial Intelligence Management System (AIMS) and is described by ISO as the world's first AI management system standard.","specifies requirements for establishing, implementing, maintaining, and continually improving an Artificial Intelligence Management System (AIMS)","ISO/IEC 42001:2023","International Organization for Standardization / IEC","December 2023","https://www.iso.org/standard/81230.html","International standards body","1 - Standards body","International management system standard; applicable to organizations providing or using AI-based products/services across industries.","Certification cost/complexity may exceed capacity of many 20–200 employee firms; standard purchase paywalled; adoption rates in SMB PS not established in this research.","Normative standard","All","AI management system; governed adoption","CIO; Risk/GC; COO","Playbook optional certification path; CIO landing","approved"
"U-GOV-005","OMB Memorandum M-24-10 (March 28, 2024) directs U.S. federal agencies to advance AI governance and risk management, including designating a Chief AI Officer within 60 days and submitting compliance plans — useful as a governance pattern reference, not a private-firm mandate.","Within 60 days... each agency must designate a CAIO... within 180 days... plan to achieve consistency","M-24-10 Advancing Governance, Innovation, and Risk Management for Agency Use of Artificial Intelligence","U.S. Office of Management and Budget","March 28, 2024","https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf","Government policy memorandum","1 - Government","Binding on covered U.S. federal agencies; not private sector.","Does NOT create obligations for private professional services firms; cite only as public-sector governance pattern / client expectation signal for firms serving government.","Normative (public sector)","Firms serving U.S. federal clients; all (as pattern)","Governance roles; accountability","CIO; Risk/GC","Playbook governance roles analogy with clear private-sector boundary","verified"
"LAW-001","ABA Formal Opinion 512 (July 29, 2024) states lawyers using generative AI tools must fully consider ethical obligations including competence, confidentiality, communication, supervision, meritorious claims, candor toward the tribunal, and reasonable fees.","lawyers using generative artificial intelligence tools must fully consider their applicable ethical obligations, including their duties to provide competent legal representation, to protect client information, to communicate with clients, to supervise their employees and agents, to advance only meritorious claims and contentions, to ensure candor toward the tribunal, and to charge reasonable fees.","ABA Formal Opinion 512: Generative Artificial Intelligence Tools","ABA Standing Committee on Ethics and Professional Responsibility","July 29, 2024","https://www.americanbar.org/content/dam/aba/administrative/professional_responsibility/ethics-opinions/aba-formal-opinion-512.pdf","Professional association ethics opinion","1 - Professional association / regulator-adjacent","Formal ethics opinion interpreting ABA Model Rules (as amended through Aug 2023); U.S. legal profession; not empirical.","Model Rules; state adoption varies; opinion is guidance not statute; not legal advice. Does not quantify prevalence of AI misuse.","Normative / expert opinion (ethics authority)","Law firms","Quality review; confidentiality; client communication; supervision; Proposal/drafting","Risk/GC; Managing Partner; Practice Leader; CIO","Law industry pack core; Risk persona landing; assessment legal module","approved"
"LAW-002","Under ABA Formal Opinion 512, competent use of GAI does not require lawyers to become GAI experts, but they must have a reasonable understanding of the capabilities and limitations of the specific GAI technology used.","lawyers need not become GAI experts. Rather, lawyers must have a reasonable understanding of the capabilities and limitations of the specific GAI technology that the lawyer might use.","ABA Formal Opinion 512","ABA Standing Committee on Ethics and Professional Responsibility","July 29, 2024","https://www.americanbar.org/content/dam/aba/administrative/professional_responsibility/ethics-opinions/aba-formal-opinion-512.pdf","Professional association ethics opinion","1","Ethics opinion; Model Rule 1.1 competence analysis.","Fact-specific reasonableness standard; state variations.","Normative","Law firms","AI literacy; training; quality review","Practice Leader; CIO; Managing Partner","Law pack training requirements; assessment competence items","approved"
"LAW-003","California State Bar Generative AI Practical Guidance states generative AI must be used consistently with professional responsibility obligations and that lawyers should understand risks and benefits of technology used in providing legal services; it warns products may use input data including prompts and uploaded documents to train AI or share queries with third parties.","generative AI must be used in a manner that conforms to a lawyer's professional responsibility obligations... Generative AI products can use input data... to train the AI... share queries with third parties","Generative AI Practical Guidance","State Bar of California","Guidance document (State Bar of California)","https://www.calbar.ca.gov/Portals/0/documents/ethics/Generative-AI-Practical-Guidance.pdf","State regulator / bar guidance","1 - Regulator","Practical guidance for California licensees; all firm sizes and practice areas.","California-specific; other states may differ; guidance not a formal disciplinary opinion in all respects; product behaviors change over time.","Normative","Law firms (California; persuasive elsewhere)","Client confidentiality; tool selection; access control","Risk/GC; CIO; Managing Partner","Law pack confidentiality controls; assessment data-handling items","approved"
"LAW-004","Clio Legal Trends (platform data + surveys) reports 79% of legal professionals use AI in their firms; more than half say their firm has no AI policy or they are unaware of one; nearly half use a generic AI solution.","79% use artificial intelligence in their firms... More than half... no AI policy... Nearly half... using a generic AI solution","Legal Trends Report (Clio online summary)","Clio","Current report year on Clio site (accessed 2026 research)","https://www.clio.com/resources/legal-trends/read-online/","Vendor platform analytics + survey","5 - Vendor (Clio sells practice management/AI); use carefully","Aggregated anonymized Clio platform data from tens of thousands of U.S. legal professionals plus surveys/interviews; exact N for AI items not fully specified on summary page.","Clio customer base may not represent all law firms; self-report/policy awareness may overstate policy absence; vendor bias; 'AI' definition broad; growing-firm correlations are not causal.","Descriptive (platform + survey)","Law firms (U.S., skew smaller/tech-adopting)","Governed adoption; policy; tool selection","Managing Partner; Risk/GC; CIO; COO","Law pack adoption-governance gap; social with vendor caveat","verified"
"LAW-005","Clio analysis states growing law firms (revenue up >20% over four years) use AI in Clio twice as much as stable and shrinking firms, and use time-saving automations twice as much as stable firms and nearly three times more than shrinking firms — correlational, not causal.","growing firms use AI in Clio twice as much as stable and shrinking firms... twice as much as stable firms, and nearly three times more than shrinking firms","Legal Trends Report summary","Clio","Current report on Clio site","https://www.clio.com/resources/legal-trends/read-online/","Vendor platform analytics","5 - Vendor correlational","Cohort analysis on aggregated Clio U.S. data; growing = revenue +>20% over four years.","Correlation ≠ causation; reverse causality likely (growing firms buy more tools); Clio-only; selection bias.","Correlational","Law firms","Adoption; operations leverage","Managing Partner; COO","Hypothesis only; not proof AI causes growth","verified"
"ACCT-001","AICPA 2024 CPA firm top issues survey (N=667; April 22–May 27, 2024): finding qualified staff is the top issue for all accounting firm categories except sole practitioners; retaining qualified staff is No. 2 for the two largest firm categories (11–20 and 21+ professionals).","Finding qualified staff is the top issue for all categories of accounting firms except sole practitioners... retaining qualified staff as their No. 2 issue","Staffing, IRS Service Problems and Leadership Development are Top Issues for CPA Firms","AICPA (firm practice management / PCPS context)","June 6, 2024","https://www.aicpa-cima.com/news/article/staffing-irs-service-problems-and-leadership-development-are-top-issues-for","Professional association survey","1 - Professional association","Online survey; N=667; U.S. CPA firms; segmented by firm size; April 22–May 27, 2024; biennial series.","Self-reported issue ranking not measured capacity shortfall; exact percentages not fully published on summary page; U.S. CPA context.","Descriptive (survey)","Accounting / CPA firms","Capacity; onboarding; Delivery capacity","Managing Partner; COO; Practice Leader; CFO","Accounting pack trigger events; capacity business case","approved"
"ACCT-002","AICPA-CIMA guidance on AI-powered tools notes AI can automate routine accounting/admin tasks (e.g., invoice categorisation, reconciliation) and that professional ethics obligations continue to apply; separate FVS guidelines state AI introduces specific risks and professional responsibilities and that the guidelines are not authoritative standards.","automating routine tasks and admin, such as invoice categorisation and reconciliation... These guidelines are neither authoritative guidance nor standards","Ethics, accountancy, and AI-powered tools; Guidelines for Responsible Use of AI in Forensic and Valuation Services","AICPA & CIMA","Association materials (dates vary; FVS guidelines undated on extract)","https://www.aicpa-cima.com/membership/article/ethics-accountancy-and-ai-powered-tools","Professional association guidance","1 - Professional association","Professional guidance articles/guidelines; not empirical productivity study.","Qualitative guidance; automation benefits not quantified here; FVS guidelines explicitly non-authoritative; existing Code of Conduct still governs.","Normative / expert guidance","Accounting / CPA; forensic & valuation","Knowledge-to-Delivery; quality; confidentiality","Risk/Compliance; Practice Leader; Managing Partner","Accounting pack ethics; assessment professional standards items","verified"
"AE-001","ACEC Research Institute Q1 2026 Engineering Business Sentiment (N=628 firm leaders, Jan 2026): median backlog 11 months; 47% report backlogs of one year or more; large firms (500+ FTE) median backlog 13 months; 88% of firms still have at least one open position.","median backlog held steady at 11 months... 47% report backlogs of one year or more... 88% still have at least one open position","5 Numbers That Define Engineering's Business Outlook in 2026 / Q1 2026 Engineering Business Sentiment","ACEC Research Institute","February–March 2026","https://engineeringinc.acec.org/blog/5-numbers-that-define-engineerings-business-outlook-in-2026/","Professional association research","1 - Professional association","Survey of 628 firm leaders; January 2026; ACEC member firm executives (U.S. engineering/design services context); Net Rating methodology for sentiment.","Response rate/margin of error not stated on summary; ACEC membership skew; large-firm backlog higher — mid-market may differ; backlog ≠ utilization quality.","Descriptive (survey)","Architecture & engineering / engineering design services","Capacity planning; Delivery-to-Executive Insight; staffing","Managing Partner/CEO; COO; CFO; Practice Leader","A/E pack economics and capacity triggers","approved"
"AE-002","NSPE Board of Ethical Review Case 24-2 concludes an engineer's use of AI to draft report text can be ethical if the engineer is competent and thoroughly reviews/verifies content under direction and control, but is unethical if confidential client information is uploaded to an open-source AI interface without client consent (tantamount to placing private information in the public domain) and if required technical citations are not documented.","uploaded Client W's information into the AI open-source interface, this was tantamount to placing the Client's private information in the public domain... confidential information can only be shared with prior consent of the Client","Use of Artificial Intelligence in Engineering Practice (BER Case 24-2)","National Society of Professional Engineers Board of Ethical Review","Case 24-2 (NSPE)","https://www.nspe.org/career-growth/ethics/board-ethical-review-cases/use-artificial-intelligence-engineering-practice","Professional association ethics case","1 - Professional association","Hypothetical ethics case analysis under NSPE Code of Ethics; U.S. PE context.","Hypothetical facts; not litigation holding; PE code not identical to architecture/other professions; open-source vs enterprise AI distinction is fact-dependent.","Normative (ethics case)","Engineering (persuasive for A/E)","Confidentiality; quality review; human accountability; drafting","Risk/GC; Practice Leader; Managing Partner; CIO","A/E pack professional risk; assessment confidentiality scenarios","approved"
"AE-003","NSPE position statement recognizes AI's transformative impact and asserts that individuals who design, develop, or oversee AI systems with direct impact on public safety should be held to the same standards as professional engineering licensure.","should be held to the same standards as professional engineering licensure","Artificial Intelligence (NSPE position statement)","National Society of Professional Engineers","NSPE position statement (date not specified on page extract)","https://www.nspe.org/nspe-advocacy/explore-issues/professional-policies-and-position-statements/artificial-intelligence","Professional association policy","1","Policy position; U.S. PE profession.","Advocacy position not enacted law; applies to AI with direct public safety impact.","Normative / expert opinion","Engineering","Public safety accountability; design QA","Risk/GC; Practice Leader","A/E pack professional judgment framing","verified"
